STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_6;MO_NSH;MO_RR;MO_SH_S;MX_RS;eor
       5619;19281201;19281231;    5;   -999;   115.0;-999;-999;eor
       5619;19290101;19290131;    5;   -999;    40.0;-999;-999;eor
       5619;19290201;19290228;    5;   -999;    12.0;-999;-999;eor
       5619;19290301;19290331;    5;   -999;    10.0;-999;-999;eor
       5619;19290401;19290430;    5;   -999;    75.0;-999;-999;eor
       5619;19290501;19290531;    5;   -999;    35.0;-999;-999;eor
       5619;19290601;19290630;    5;   -999;   105.0;-999;-999;eor
       5619;19290701;19290731;    5;   -999;    90.0;-999;-999;eor
       5619;19290801;19290831;    5;   -999;    52.0;-999;-999;eor
       5619;19290901;19290930;    5;   -999;    59.0;-999;-999;eor
       5619;19291001;19291031;    5;   -999;   221.0;-999;-999;eor
       5619;19291101;19291130;    5;   -999;    97.0;-999;-999;eor
       5619;19291201;19291231;    5;   -999;   203.0;-999;-999;eor
       5619;19300101;19300131;    5;   -999;    99.0;-999;-999;eor
       5619;19300201;19300228;    5;   -999;    36.0;-999;-999;eor
       5619;19300301;19300331;    5;   -999;    54.0;-999;-999;eor
       5619;19300401;19300430;    5;   -999;    48.0;-999;-999;eor
       5619;19300501;19300531;    5;   -999;   110.0;-999;-999;eor
       5619;19300601;19300630;    5;   -999;    54.0;-999;-999;eor
       5619;19300701;19300731;    5;   -999;   153.0;-999;-999;eor
       5619;19300801;19300831;    5;   -999;   145.0;-999;-999;eor
       5619;19300901;19300930;    5;   -999;   135.0;-999;-999;eor
       5619;19301001;19301031;    5;   -999;   140.0;-999;-999;eor
       5619;19301101;19301130;    5;   -999;   240.0;-999;-999;eor
       5619;19301201;19301231;    5;   -999;    65.0;-999;-999;eor
       5619;19310101;19310131;    5;   -999;   183.6;-999;   29.2;eor
       5619;19310201;19310228;    5;   -999;   115.5;-999;   30.1;eor
       5619;19310301;19310331;    5;   -999;    30.7;-999;   14.0;eor
       5619;19310401;19310430;    5;   -999;   110.6;-999;   20.2;eor
       5619;19310501;19310531;    5;   -999;    84.9;-999;   28.2;eor
       5619;19310601;19310630;    5;   -999;   105.4;-999;   16.6;eor
       5619;19310701;19310731;    5;   -999;   136.4;-999;   24.4;eor
       5619;19310801;19310831;    5;   -999;   191.4;-999;   26.6;eor
       5619;19310901;19310930;    5;   -999;    76.6;-999;   14.6;eor
       5619;19311001;19311031;    5;   -999;    77.3;-999;   18.2;eor
       5619;19311101;19311130;    5;   -999;    46.6;-999;   10.2;eor
       5619;19311201;19311231;    5;   -999;   121.9;-999;   18.2;eor
       5619;19320101;19320131;    5;   -999;   130.2;-999;   39.3;eor
       5619;19320201;19320229;    5;   -999;    31.7;-999;    9.1;eor
       5619;19320301;19320331;    5;   -999;    78.6;-999;   19.0;eor
       5619;19320401;19320430;    5;   -999;   158.5;-999;   34.4;eor
       5619;19320501;19320531;    5;   -999;   148.2;-999;   51.8;eor
       5619;19320601;19320630;    5;   -999;    65.2;-999;   33.5;eor
